,,,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Dataset name,City:State_id,In x sources
The New Amsterdams,Lawrence,Kansas,KS,2000,2014,38.9597,-95.2642,ENAO,Lawrence:KS,1
La Dispute,Grand Rapids,Michigan,MI,2004,2026,42.9619,-85.6562,ENAO,Grand Rapids:MI,3
Jawbox,Washington,District of Columbia,DC,1989,1997,38.9047,-77.0163,ENAO,Washington:DC,2
Knuckle Puck,Chicago,Illinois,IL,2010,2026,41.8375,-87.6866,ENAO,Chicago:IL,1
Jejune,Boston,Massachusetts,MA,1996,2000,42.3188,-71.0852,ENAO,Boston:MA,2
The Lawrence Arms,Chicago,Illinois,IL,1999,2026,41.8375,-87.6866,ENAO,Chicago:IL,1
It Looks Sad.,Charlotte,North Carolina,NC,2012,2026,35.2083,-80.8303,ENAO,Charlotte:NC,1
The Story So Far,Walnut Creek,California,CA,2007,2026,37.9024,-122.0399,ENAO,Walnut Creek:CA,1
One Last Wish,Washington,District of Columbia,DC,1986,1987,38.9047,-77.0163,ENAO,Washington:DC,2
Bear Vs. Shark,Highland,Michigan,MI,2001,2005,42.6381,-83.6172,ENAO,Highland:MI,1
Moneen,Brampton,Ontario,ON,1999,2026,43.6882,-79.763,ENAO,Brampton:ON,1
Remo Drive,Bloomington,Minnesota,MN,2013,2026,44.8306,-93.3151,ENAO,Bloomington:MN,1
Basement,Ipswich,Suffolk,EG,2009,2012,52.0597,1.1481,ENAO,Ipswich:EG,2
Slaughter Beach* Dog,Philadelphia,Pennsylvania,PA,2014,2026,40.0077,-75.1339,ENAO,Philadelphia:PA,1
mewithoutYou,Philadelphia,Pennsylvania,PA,2001,2022,40.0077,-75.1339,ENAO,Philadelphia:PA,2
Somos,Boston,Massachusetts,MA,2012,2016,42.3188,-71.0852,ENAO,Boston:MA,1
Mat Kerekes,Toledo,Ohio,OH,2011,2026,41.6638,-83.5827,ENAO,Toledo:OH,1
Glassjaw,Hempstead,New York,NY,1993,2026,40.7061,-73.6188,ENAO,Hempstead:NY,1
Sparta,El Paso,Texas,TX,2001,2008,31.8476,-106.43,ENAO,El Paso:TX,1
Fiddlehead,Boston,Massachusetts,MA,2014,2026,42.3188,-71.0852,ENAO,Boston:MA,1
Ethel Meserve,State College,Pennsylvania,PA,1994,1998,40.7909,-77.8567,ENAO,State College:PA,2
Defeater,Boston,Massachusetts,MA,2008,2026,42.3188,-71.0852,ENAO,Boston:MA,1
Straylight Run,Baldwin,New York,NY,2003,2010,40.6511,-73.6075,ENAO,Baldwin:NY,2
Turnover,Virginia Beach,Virginia,VA,2009,2026,36.7335,-76.0435,ENAO,Virginia Beach:VA,2
Q And Not U,Washington,District of Columbia,DC,1998,2005,38.9047,-77.0163,ENAO,Washington:DC,1
Hot Mulligan,Lansing,Michigan,MI,2014,2026,42.7142,-84.5601,ENAO,Lansing:MI,1
Such Gold,Rochester,New York,NY,2009,2026,43.168,-77.6162,ENAO,Rochester:NY,1
Fireworks,Detroit,Michigan,MI,2004,2015,42.3834,-83.1024,ENAO,Detroit:MI,1
